epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9535518884658813,0.1317911148071289,0.4903581142425537,5.659881114959717
1,0.9918032884597778,0.02408328652381897,0.4986225962638855,2.8940627574920654
2,0.9955601096153259,0.01337072066962719,0.5013774037361145,4.917646408081055
3,0.9887295365333557,0.03548885136842728,0.8925619721412659,0.6118266582489014
4,0.9976093173027039,0.009978477843105793,0.8898071646690369,0.6928649544715881
5,0.999316930770874,0.003778970567509532,0.8650137782096863,1.028623104095459
6,0.999316930770874,0.0029485062696039677,0.8842975497245789,0.6784917116165161
7,0.998633861541748,0.003730998607352376,0.5316804647445679,4.495852470397949
8,0.993510901927948,0.020639311522245407,0.6308540105819702,2.0314109325408936
9,0.9979507923126221,0.008299518376588821,0.6198347210884094,2.407780647277832
10,0.998633861541748,0.00577525282278657,0.9063360691070557,0.5913081169128418
11,0.999658465385437,0.0016268176259472966,0.9008264541625977,0.6829484105110168
12,0.9965847134590149,0.011140617541968822,0.7988981008529663,1.4020991325378418
13,0.9962431788444519,0.00956476479768753,0.8705233931541443,1.1681325435638428
14,0.9959016442298889,0.013514097779989243,0.8815426826477051,1.1788742542266846
15,0.9969262480735779,0.010438859462738037,0.8209366202354431,0.7891835570335388
16,0.998975396156311,0.0035249304492026567,0.6336088180541992,4.033515930175781
17,0.999316930770874,0.0029605813324451447,0.8870523571968079,0.6384115815162659
18,0.998975396156311,0.0031613626051694155,0.7906336188316345,8.213191986083984
19,0.999316930770874,0.002576044760644436,0.8732782602310181,0.8917027711868286
0,0.9306694269180298,0.19441066682338715,0.4903581142425537,3.8880255222320557
1,0.9856557250022888,0.04939594864845276,0.5013774037361145,2.613449811935425
2,0.9911202192306519,0.029953964054584503,0.9476584196090698,0.36888474225997925
3,0.9853141903877258,0.040974050760269165,0.9228650331497192,0.309257835149765
0,0.9863387942314148,0.04324455186724663,0.6033057570457458,1.54452383518219
1,0.9784836173057556,0.06599649041891098,0.7878788113594055,0.826643168926239
2,0.9914617538452148,0.03869985044002533,0.8787878751754761,0.9265927076339722
3,0.9897540807723999,0.03702878579497337,0.6639118194580078,1.2755212783813477
4,0.9918032884597778,0.021725663915276527,0.8292011022567749,0.7806474566459656
5,0.9928278923034668,0.022276325151324272,0.5289255976676941,4.404262065887451
6,0.9911202192306519,0.02878001518547535,0.8898071646690369,0.5899686813354492
7,0.9918032884597778,0.026326369494199753,0.5096418857574463,13.003005981445312
8,0.9918032884597778,0.03396919369697571,0.5619834661483765,2.3881995677948
9,0.9914617538452148,0.02881254069507122,0.7906336188316345,1.895311713218689
0,0.9351093173027039,0.1966121643781662,0.71074378490448,0.802596390247345
1,0.9566256999969482,0.1260765790939331,0.8787878751754761,0.5945483446121216
2,0.9614071249961853,0.11674700677394867,0.5785123705863953,1.5375555753707886
3,0.9668715596199036,0.09686888754367828,0.5041322112083435,2.5560383796691895
4,0.9750683307647705,0.07760734856128693,0.7878788113594055,0.6485562324523926
5,0.9719945192337036,0.08426866680383682,0.4903581142425537,10.86795711517334
6,0.9672130942344666,0.08613399416208267,0.5922865271568298,1.8539775609970093
7,0.9774590134620667,0.06673279404640198,0.5619834661483765,1.57223379611969
8,0.9812158346176147,0.052916355431079865,0.7768595218658447,1.4372743368148804
9,0.9825819730758667,0.04441076144576073,0.942148745059967,0.3287913501262665
0,0.9094945192337036,0.2755078971385956,0.8099173307418823,1.7262437343597412
1,0.9354507923126221,0.1872967928647995,0.9173553586006165,0.2828691005706787
2,0.9474043846130371,0.14677098393440247,0.936639130115509,0.34250470995903015
3,0.9685792326927185,0.09279797971248627,0.705234169960022,1.0467631816864014
4,0.9552595615386963,0.12053612619638443,0.5261707901954651,4.568446636199951
5,0.9559426307678223,0.12042772769927979,0.8898071646690369,0.41722622513771057
6,0.9730191230773926,0.07812599837779999,0.8374655842781067,0.5698280930519104
7,0.9542349576950073,0.12200553715229034,0.8512396812438965,0.6553353071212769
8,0.9719945192337036,0.08189716190099716,0.9228650331497192,1.1740952730178833
9,0.9747267961502075,0.07393692433834076,0.7548209428787231,1.3459078073501587
